Date,VOO,SPY,IVV,VXX,HYG,LQD,IEF,CAR,CVNA,AEVA,CYN,IBIT,MSTR
2010-10-27,82.85941,90.60329,90.81464,,39.68435,66.26654,71.67726,11.01174,,,,,8.95100
2010-10-28,82.92069,90.61859,90.88348,,39.70623,66.53352,72.09513,10.96424,,,,,8.96200
2010-10-29,82.98203,90.68745,90.90643,,39.72375,66.66405,72.41777,11.03075,,,,,9.06300
2010-11-01,83.02798,90.71808,90.92939,,39.64928,66.64146,72.29652,11.27777,,,,,9.05300
2010-11-02,83.67164,91.43756,91.65577,,39.84319,66.95110,72.53906,11.37278,,,,,8.46400
2010-11-03,84.02410,91.80491,92.06102,,39.97540,66.73083,72.77425,11.22077,,,,,8.54100
2010-11-04,85.60253,93.57289,93.76611,,40.49542,67.36215,73.36221,12.47491,,,,,8.83500
2010-11-05,85.93962,93.92496,94.16374,,40.45132,67.14767,73.05351,13.10198,,,,,8.95000
2010-11-08,85.83237,93.74889,93.98788,,40.33236,67.18342,73.07555,13.12098,,,,,9.02000
2010-11-09,85.15813,93.07541,93.27678,,40.21777,66.68312,72.45818,12.80745,,,,,9.03400
2010-11-10,85.47990,93.45042,93.66674,,39.88724,66.54015,72.73014,13.17799,,,,,9.07500
2010-11-11,85.20409,93.09835,93.32266,,39.72861,66.24836,72.64926,13.22549,,,,,9.00300
2010-11-12,84.14669,91.99624,92.21394,,39.58317,65.78379,72.04667,12.91196,,,,,8.84800
2010-11-15,84.07005,91.86613,92.09160,,39.50823,65.06308,71.12061,12.94046,,,,,8.95300
2010-11-16,82.72153,90.43491,90.61588,,39.07198,65.40855,71.64979,12.75994,,,,,8.78100
2010-11-17,82.78279,90.48083,90.70763,,39.27029,65.40855,71.44399,12.66493,,,,,8.75200
2010-11-18,84.00874,91.81255,92.04570,,39.76826,65.45618,71.27495,12.59842,,,,,8.96600
2010-11-19,84.20797,92.06510,92.25217,,39.75502,65.68255,71.42194,12.44641,,,,,9.03500
2010-11-22,84.13135,91.98860,92.19100,,39.47739,66.04587,71.80411,12.41790,,,,,9.08400
2010-11-23,82.95139,90.65685,90.86055,,38.93537,66.08156,71.95109,12.07586,,,,,8.83100
2010-11-24,84.02410,91.99624,92.22160,,39.16893,65.53958,71.17939,12.59842,,,,,8.96800
2010-11-26,83.54903,90.92474,91.21992,,39.02789,65.62296,71.48807,12.49391,,,,,8.93700
2010-11-29,83.47241,91.20025,91.42637,,39.12928,65.68848,71.64240,12.72194,,,,,8.80200
2010-11-30,82.89005,90.68745,90.84524,,39.21741,65.58727,71.76735,12.62693,,,,,8.65500
2010-12-01,84.75969,92.61618,92.82565,,39.58030,65.44136,70.82359,13.06398,,,,,8.76900
2010-12-02,85.86302,93.80249,94.01080,,39.60247,65.29789,70.64674,13.77656,,,,,8.88600
2010-12-03,86.07756,94.05502,94.26315,,39.66900,65.11253,70.65408,13.81456,,,,,8.83700
2010-12-06,85.97028,93.95557,94.14844,,39.64682,65.56694,71.09615,13.93807,,,,,8.79700
2010-12-07,86.00094,94.00913,94.21727,,39.85090,64.95708,69.91738,13.64354,,,,,8.82200
2010-12-08,86.35340,94.35355,94.56134,,39.72226,64.53849,69.32058,13.74805,,,,,8.80900
2010-12-09,86.67519,94.72092,94.98953,,39.63796,64.69394,69.46798,13.91907,,,,,8.83100
2010-12-10,87.19626,95.27197,95.52477,,39.65570,64.39501,68.87855,14.35612,,,,,8.94400
2010-12-13,87.24225,95.33318,95.55539,,39.45605,64.63415,69.09957,14.21360,,,,,8.83200
2010-12-14,87.28819,95.41738,95.65472,,39.65126,64.23960,68.37024,14.09959,,,,,8.83900
2010-12-15,86.90509,94.98115,95.23423,,39.49601,63.83892,68.09026,13.80506,,,,,8.80500
2010-12-16,87.41079,95.53220,95.72359,,39.64241,64.14986,68.49544,13.96658,,,,,8.82300
2010-12-17,87.53339,95.63454,95.88419,,39.70007,64.73582,69.08487,13.70055,,,,,8.80000
2010-12-20,87.71729,95.86532,96.07529,,39.77100,64.69394,69.07749,13.96658,,,,,8.74900
2010-12-21,88.25364,96.47318,96.67171,,39.85535,64.83154,69.22487,14.31812,,,,,8.63600
2010-12-22,88.57548,96.77323,97.01577,,39.96624,64.77765,69.03329,14.23261,,,,,8.56300
2010-12-23,88.43755,96.63472,96.88208,,40.00617,64.80754,68.79021,14.22311,,,,,8.52300
2010-12-27,88.50374,96.67320,96.93589,,40.03722,64.93313,69.05544,14.24211,,,,,8.53200
2010-12-28,88.59614,96.81169,97.04346,,40.06265,64.41570,68.33000,14.21360,,,,,8.49300
2010-12-29,88.67305,96.88091,97.13567,,40.19661,64.90190,69.09826,14.23261,,,,,8.53400
2010-12-30,88.53455,96.72709,96.99736,,40.24128,64.93190,68.95789,14.48914,,,,,8.61400
2010-12-31,88.62690,96.75015,97.00503,,40.31268,65.09396,69.30506,14.78367,,,,,8.54700
2011-01-03,89.45821,97.75034,97.98084,,40.34394,65.34608,69.09083,14.08059,,,,,8.83700
2011-01-04,89.38123,97.69646,97.91936,,40.52702,65.43014,69.25330,13.74805,,,,,8.90000
2011-01-05,89.85847,98.20428,98.41881,,40.62970,64.94994,68.50730,13.97608,,,,,8.94200
2011-01-06,89.70450,98.01192,98.23442,,40.67884,65.04594,68.86189,13.87157,,,,,8.94100
2011-01-07,89.51978,97.81957,98.05769,,40.52255,65.37611,69.31985,13.75755,,,,,8.92100
2011-01-10,89.44279,97.69646,97.95777,,40.49127,65.49018,69.55624,13.56753,,,,,8.90400
2011-01-11,89.73531,98.04269,98.28819,,40.64756,65.46018,69.28288,13.79556,,,,,9.10000
2011-01-12,90.53583,98.92750,99.18716,,40.73240,65.41811,69.08344,13.79556,,,,,9.10600
2011-01-13,90.41265,98.76592,99.04885,,40.72346,65.70029,69.54883,13.83356,,,,,9.15200
2011-01-14,91.05926,99.48145,99.66355,,40.79042,65.38813,69.35678,13.81456,,,,,9.13900
2011-01-18,91.21318,99.65071,99.91709,,40.78597,65.35216,69.18691,13.79556,,,,,9.17500
2011-01-19,90.30491,98.67358,98.91056,,40.66097,65.30412,69.36418,13.20649,,,,,9.14600
2011-01-20,90.19713,98.54282,98.78761,,40.58057,65.02196,68.82487,13.00697,,,,,9.10000
2011-01-21,90.39730,98.76592,99.00274,,40.74578,65.11800,69.05389,13.07348,,,,,9.10000
2011-01-24,90.95151,99.32758,99.58673,,40.80382,65.14802,69.06126,13.31100,,,,,9.10000
2011-01-25,90.92070,99.38143,99.57136,,40.86634,65.47215,69.40850,13.24450,,,,,9.30100
2011-01-26,91.39793,99.76613,100.04771,,40.95116,65.10600,68.98746,13.67204,,,,,10.50200
2011-01-27,91.52106,100.01234,100.28590,,41.00475,65.21407,69.24596,13.87157,,,,,10.59300
2011-01-28,89.90465,98.26582,98.45724,,40.75917,65.29807,69.56357,13.23499,,,,,10.54500
2011-01-31,90.59737,99.00443,99.23327,,40.97794,65.11800,69.29026,13.14948,,,,,10.63600
2011-02-01,92.01371,100.58937,100.83913,,41.05838,65.03184,68.96815,13.58653,,,,,11.04100
2011-02-02,91.85976,100.39700,100.63937,,41.10332,64.90528,68.80524,13.41551,,,,,11.01700
2011-02-03,92.09066,100.62012,100.84682,,41.10332,64.74856,68.41278,13.55803,,,,,11.13900
2011-02-04,92.33701,100.90481,101.13882,,41.28306,64.54971,67.99064,13.85256,,,,,11.17600
2011-02-07,92.92198,101.53571,101.77655,,41.35947,64.62206,67.96100,14.20410,,,,,11.33800
